,name,dominant_colors_0,dominant_colors_1,dominant_colors_2,dominant_colors_3,distance,year,id
0,1881_still-life-with-beer-mug-and-fruit-1881.jpg,"(15, 11, 6)","(26, 22, 18)","(55, 34, 28)","(132, 75, 46)",17.983233161548043,1881,0
1,1881_still-life-with-cabbage-and-clogs-1881.jpg,"(120, 97, 61)","(68, 67, 54)","(205, 182, 111)","(162, 136, 80)",17.74040684400886,1881,1
2,1881_windmils-at-dordrecht-1881.jpg,"(60, 47, 39)","(179, 147, 103)","(220, 194, 145)","(120, 98, 71)",12.544915508298395,1881,2
3,1882_girl-in-white-in-the-woods-1882(1).jpg,"(29, 17, 15)","(147, 78, 51)","(199, 144, 76)","(84, 46, 36)",26.237819578890278,1882,3
4,1882_view-of-the-sea-at-scheveningen-1882.jpg,"(198, 177, 139)","(60, 40, 22)","(157, 129, 91)","(113, 86, 57)",6.18222700919074,1882,4
5,1882_dunes-with-figures-1882(1).jpg,"(72, 66, 42)","(127, 122, 99)","(95, 91, 66)","(169, 164, 143)",2.4837860317290334,1882,5
6,1882_two-women-in-the-woods-1882.jpg,"(79, 49, 34)","(197, 157, 119)","(29, 17, 14)","(139, 93, 63)",14.294311682463723,1882,6
7,1882_women-mending-nets-in-the-dunes-1882.jpg,"(46, 57, 55)","(132, 149, 149)","(211, 220, 217)","(88, 100, 86)",5.0206002967070456,1882,7
8,1882_edge-of-a-wood-1882(1).jpg,"(206, 182, 116)","(54, 35, 31)","(151, 114, 71)","(97, 72, 52)",18.65086665579447,1882,8
9,1882_cluster-of-old-houses-with-the-new-church-in-the-hague-1882(1).jpg,"(230, 187, 119)","(89, 38, 29)","(153, 96, 54)","(47, 15, 12)",21.12692011248762,1882,9
10,1882_dunes-1882(1).jpg,"(120, 80, 42)","(186, 173, 142)","(59, 29, 18)","(188, 132, 59)",21.666008721601468,1882,10
11,1882_factory-1882(1).jpg,"(133, 130, 119)","(248, 246, 236)","(199, 192, 177)","(79, 77, 71)",2.5900790503474522,1882,11
12,1882_girl-in-the-woods-1882(1).jpg,"(89, 47, 15)","(31, 19, 12)","(148, 112, 58)","(120, 73, 28)",18.422859682850383,1882,12
13,1882_dunes-with-figures-1882-1(1).jpg,"(60, 29, 38)","(155, 131, 126)","(108, 78, 72)","(132, 105, 93)",7.362286325397566,1882,13
14,1882_man-stooping-with-stick-or-spade-1882.jpg,"(61, 33, 22)","(191, 125, 52)","(130, 78, 38)","(160, 147, 95)",24.217200839920352,1882,14
15,1882_beach-at-scheveningen-in-calm-weather-1882(1).jpg,"(217, 209, 137)","(69, 63, 45)","(243, 250, 244)","(157, 127, 81)",22.158084805676538,1882,15
16,1882_iron-mill-in-the-hague-1882.jpg,"(242, 226, 155)","(112, 89, 43)","(46, 34, 17)","(187, 158, 78)",18.16447358926784,1882,16
17,1882_shores-of-scheveningen-1882.jpg,"(113, 138, 73)","(185, 200, 141)","(64, 86, 39)","(157, 173, 85)",10.664229506408654,1882,17
18,1883_farmhouses-in-loosduinen-near-the-hague-at-twilight-1883(1).jpg,"(175, 164, 91)","(63, 42, 15)","(206, 190, 116)","(104, 73, 28)",14.558416829409028,1883,18
19,1883_farmhouse-with-peat-stacks-1883(1).jpg,"(186, 181, 145)","(93, 61, 39)","(38, 22, 21)","(158, 149, 111)",14.627993304096243,1883,19
20,1883_farmhouses-among-trees-1883(1).jpg,"(147, 144, 100)","(54, 31, 19)","(196, 211, 192)","(103, 82, 51)",15.688914080010813,1883,20
21,1883_peasant-burning-weeds-1883.jpg,"(42, 33, 25)","(119, 78, 36)","(26, 17, 13)","(94, 54, 24)",18.804318100881172,1883,21
22,1883_landscape-with-dunes-1883.jpg,"(174, 164, 129)","(104, 85, 67)","(226, 219, 189)","(38, 27, 28)",11.507904594011857,1883,22
23,1883_cottages-1883(1).jpg,"(42, 31, 19)","(227, 193, 114)","(114, 90, 50)","(193, 164, 91)",19.53534823913709,1883,23
24,1883_two-women-in-the-moor-1883.jpg,"(101, 85, 53)","(46, 36, 29)","(172, 163, 96)","(136, 126, 73)",17.40030071131452,1883,24
25,1884_still-life-with-five-bottles-1884.jpg,"(144, 148, 104)","(88, 104, 78)","(239, 238, 198)","(50, 71, 56)",10.1179431391144,1884,25
