,name,year,place,style,genre,painting_url
0,Still Life with Beer Mug and Fruit,1881,Netherlands,"
Realism
","
still life
",https://uploads0.wikiart.org/images/vincent-van-gogh/still-life-with-beer-mug-and-fruit-1881.jpg
1,Still Life with Cabbage and Clogs,1881,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
still life
",https://uploads8.wikiart.org/images/vincent-van-gogh/still-life-with-cabbage-and-clogs-1881.jpg
2,Windmils at Dordrecht,1881,Netherlands,"
Realism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/windmils-at-dordrecht-1881.jpg
3,Beach at Scheveningen in Calm Weather,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/beach-at-scheveningen-in-calm-weather-1882(1).jpg
4,Cluster of Old Houses with the New Church in The Hague,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
cityscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/cluster-of-old-houses-with-the-new-church-in-the-hague-1882(1).jpg
5,Dunes,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/dunes-1882(1).jpg
6,Dunes with Figures,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
genre painting
",https://uploads5.wikiart.org/images/vincent-van-gogh/dunes-with-figures-1882(1).jpg
7,Dunes with Figures,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
genre painting
",https://uploads7.wikiart.org/images/vincent-van-gogh/dunes-with-figures-1882-1(1).jpg
8,Edge of a Wood,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/edge-of-a-wood-1882(1).jpg
9,Factory,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
cityscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/factory-1882(1).jpg
10,Girl in the Woods,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
genre painting
",https://uploads4.wikiart.org/images/vincent-van-gogh/girl-in-the-woods-1882(1).jpg
11,Girl in White in the Woods,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
genre painting
",https://uploads4.wikiart.org/images/vincent-van-gogh/girl-in-white-in-the-woods-1882(1).jpg
12,Iron Mill in The Hague,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/iron-mill-in-the-hague-1882.jpg
13,Man Stooping with Stick or Spade,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
genre painting
",https://uploads7.wikiart.org/images/vincent-van-gogh/man-stooping-with-stick-or-spade-1882.jpg
14,Shores of Scheveningen,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/shores-of-scheveningen-1882.jpg
15,Two Women in the Woods,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
genre painting
",https://uploads6.wikiart.org/images/vincent-van-gogh/two-women-in-the-woods-1882.jpg
16,View of the Sea at Scheveningen,1882,"Scheveningen / Statenkwartier, Netherlands","
Realism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/view-of-the-sea-at-scheveningen-1882.jpg
17,Women Mending Nets in the Dunes,1882,"Haag / Den Haag / La Haye / The Hague, Netherlands","
Realism
","
genre painting
",https://uploads6.wikiart.org/images/vincent-van-gogh/women-mending-nets-in-the-dunes-1882.jpg
18,Cottages,1883,Netherlands,"
Realism
","
landscape
",https://uploads4.wikiart.org/images/vincent-van-gogh/cottages-1883(1).jpg
